feature,clean_feature,importance_mean,importance_std
AIRLINE,Airline,0.01497280590752111,8.530734332679565e-05
year,Year,0.013104731822071466,0.00039742656431104585
day,Day,0.002245567074043072,9.511856612094261e-05
month,Month,0.0016351625389063134,0.00017783439229092035
day_of_week,Day of Week,0.0011700175184249744,6.116436853968335e-05
is_weekend,Weekend Flag,-1.726769777602814e-05,5.518956006868306e-05
ORIGIN,Origin Airport,-0.00022569347063328138,4.739852731056054e-06
season,Season,-0.000317937880434882,0.00010378424865743105
ORIGIN_STATE,Origin State,-0.0006921810075581162,3.422709433461251e-05
DEST,Destination Airport,-0.0007473831935217076,5.399542956648708e-05
DEST_STATE,Destination State,-0.0007575122322958464,0.00011893132356909372
DISTANCE,Distance,-0.0010428562327027269,0.00011530409674981173
SCHED_BLOCK_MINS,Scheduled Block Time,-0.0012041168364571586,0.00013282840773163403
CRS_ELAPSED_TIME,Scheduled Elapsed Time,-0.0012207324965836837,2.8211950054990087e-05
dep_time_bucket,Departure Time Bucket,-0.001962020708509445,6.531977842948448e-05
CRS_DEP_TIME_MIN,Scheduled Departure Time,-0.002494996716125445,2.2744859983274284e-05
arr_hour,Arrival Hour,-0.003382593502400407,8.571034334865714e-05
dep_hour,Departure Hour,-0.004198846531866307,0.00010887430813945186
CRS_ARR_TIME_MIN,Scheduled Arrival Time,-0.0047190669265605445,7.469915363693072e-05
